dateStock,ticker,nameCompany,openValueStock,highValueStock,lowValueStock,closeValueStock,quantityStock
2020-04-29,AMER3.SA,Americanas,7685.804657499533,7744.10436086709,7558.517578125,7558.517578125,25625
2020-04-30,AMER3.SA,Americanas,7355.441572601303,7536.169404247161,7117.38525390625,7117.38525390625,33331
2020-05-04,AMER3.SA,Americanas,6995.928122573921,7267.991794562857,6906.535663796577,7197.06103515625,34258
2020-05-05,AMER3.SA,Americanas,7432.202103387812,7694.549808066717,7173.741651864829,7273.822265625,31059
2020-05-06,AMER3.SA,Americanas,7590.5823972947055,8667.17776223879,7582.809327006354,8665.234375,103946
2020-05-07,AMER3.SA,Americanas,8963.533252227951,9131.629537047615,8275.600058630347,8764.3427734375,86588
2020-05-08,AMER3.SA,Americanas,8892.601590526661,9006.285908583703,8210.498554185111,8501.99609375,77500
2020-05-11,AMER3.SA,Americanas,8531.145781021354,8605.963312289681,8297.947945275846,8447.5830078125,33296
2020-05-12,AMER3.SA,Americanas,8502.967773617227,9017.945259529537,8453.413316424403,8697.298828125,50928
2020-05-13,AMER3.SA,Americanas,8843.047276506066,9065.556491053865,8616.651287625516,8881.9140625,45425
2020-05-14,AMER3.SA,Americanas,8927.581584235319,8927.581584235319,8508.797932151812,8633.169921875,40684
2020-05-15,AMER3.SA,Americanas,8560.294966663672,8636.08419408249,8319.324531588569,8363.048828125,36458
2020-05-18,AMER3.SA,Americanas,8572.926913621111,8723.533673653514,8001.592631872325,8173.576171875,54966
2020-05-19,AMER3.SA,Americanas,8200.782595773228,8966.447451441634,8200.782595773228,8954.7880859375,59506
2020-05-20,AMER3.SA,Americanas,8925.63867785863,9084.99068719127,8555.437769445902,8602.0771484375,53676
2020-05-21,AMER3.SA,Americanas,8653.57488597311,8746.853642775493,8176.491514966083,8414.546875,67199
2020-05-22,AMER3.SA,Americanas,8329.04184862144,8929.525533961563,8195.924608421352,8273.6572265625,69524
2020-05-25,AMER3.SA,Americanas,8550.579025196404,8647.744554512994,8357.219660149736,8490.3359375,40254
2020-05-26,AMER3.SA,Americanas,8698.270683493423,9298.754342372615,8667.177446140395,9269.6044921875,72377
2020-05-27,AMER3.SA,Americanas,9429.92830078749,9565.960617478326,8841.104000635598,9133.5732421875,59830
2020-05-28,AMER3.SA,Americanas,9221.022105621149,9259.888893238955,8872.19749735277,8986.853515625,52256
2020-05-29,AMER3.SA,Americanas,8922.723945376283,9024.74794990385,8765.315317133696,8902.3193359375,46865
2020-06-01,AMER3.SA,Americanas,8905.233765096624,8986.85315421137,8647.74453848476,8880.9423828125,30101
2020-06-02,AMER3.SA,Americanas,8997.541133031502,9169.524202052608,8551.5509944513,8666.2060546875,57025
2020-06-03,AMER3.SA,Americanas,8842.075656585548,8942.156267153341,8385.396900687141,8487.4208984375,61059
2020-06-04,AMER3.SA,Americanas,8454.385209072987,8575.842121000394,8242.563665391404,8359.162109375,43698
2020-06-05,AMER3.SA,Americanas,8550.579595773566,8558.353144984367,8191.0663474451285,8388.3125,64671
2020-06-08,AMER3.SA,Americanas,8404.831265114464,9036.408203125,8380.539881242277,9036.408203125,51798
2020-06-09,AMER3.SA,Americanas,8855.679638645943,9216.16361207142,8794.464855183598,9182.15625,32640
2020-06-10,AMER3.SA,Americanas,9190.900708353212,9796.242869695163,9168.552711980537,9687.41796875,61664
2020-06-12,AMER3.SA,Americanas,9467.823198795963,10045.958857498279,9427.013025961925,9665.0693359375,62604
2020-06-15,AMER3.SA,Americanas,9570.818259001237,9949.764406393177,9483.369663551961,9901.181640625,32493
2020-06-16,AMER3.SA,Americanas,10017.780775021325,10232.516440770418,9724.33984375,9724.33984375,30000
2020-06-17,AMER3.SA,Americanas,9750.574464799489,10377.292882692402,9740.858486455038,10318.994140625,47462
2020-06-18,AMER3.SA,Americanas,10248.063357256262,10622.151019946748,10105.229189804577,10190.7353515625,30005
2020-06-19,AMER3.SA,Americanas,10395.755346278027,10444.338111336601,10017.7808980155,10105.2294921875,38613
2020-06-22,AMER3.SA,Americanas,10202.395419511116,10227.658496618478,9791.385287700537,9949.7646484375,23494
2020-06-23,AMER3.SA,Americanas,10029.44031838908,10297.618178598581,9992.51787626378,10037.2138671875,34451
2020-06-24,AMER3.SA,Americanas,10046.931309250915,10382.152215397522,9961.425140162135,10325.7958984375,37265
2020-06-25,AMER3.SA,Americanas,10338.427458768288,10396.727160448143,10010.9791589558,10226.6865234375,20951
2020-06-26,AMER3.SA,Americanas,10154.784307638825,10260.69508382789,9874.947073255611,10017.78125,19414
2020-06-29,AMER3.SA,Americanas,10076.079432476363,10321.90929078222,9940.048076070203,10314.1357421875,21559
2020-06-30,AMER3.SA,Americanas,10205.310505769567,10542.475751033511,10184.905896813214,10401.5849609375,30673
2020-07-01,AMER3.SA,Americanas,10512.35376123168,10884.498046875,10396.72701047923,10884.498046875,32475
2020-07-02,AMER3.SA,Americanas,10979.721288348572,11152.676048576797,10413.244978387344,10487.0908203125,32487
2020-07-03,AMER3.SA,Americanas,10493.892284045507,10646.442430226056,10309.277207453275,10577.4541015625,15814
2020-07-06,AMER3.SA,Americanas,10882.554342596171,11489.83984375,10826.198987916472,11489.83984375,30869
2020-07-07,AMER3.SA,Americanas,11381.01566681113,11576.31842667534,11163.363953582428,11378.1005859375,22834
2020-07-08,AMER3.SA,Americanas,11465.548713558252,11611.297007272922,11174.052126128912,11213.8896484375,25651
2020-07-09,AMER3.SA,Americanas,11327.573833508093,11694.8596441714,11214.861208352015,11677.3701171875,26395
2020-07-10,AMER3.SA,Americanas,11639.474942164206,11792.025088066197,11419.880812190726,11683.2001953125,19315
2020-07-13,AMER3.SA,Americanas,11741.49978545697,11804.657957159321,11368.3837890625,11368.3837890625,22125
2020-07-14,AMER3.SA,Americanas,11455.833314108399,11613.240981463352,11143.931145632907,11241.0966796875,36601
2020-07-15,AMER3.SA,Americanas,11389.759625452141,11420.852863212182,11013.728563542421,11075.9150390625,29529
2020-07-16,AMER3.SA,Americanas,10989.43725096514,11113.809245463992,10719.316960037984,10747.4951171875,28257
2020-07-17,AMER3.SA,Americanas,10828.14251874176,11305.225875391732,10785.388958715934,11220.69140625,38592
2020-07-20,AMER3.SA,Americanas,11280.935221622882,11635.589997217416,11280.935221622882,11624.9013671875,22532
2020-07-21,AMER3.SA,Americanas,11713.321288866726,11976.64068340103,11446.116077232517,11585.0634765625,38143
2020-07-22,AMER3.SA,Americanas,11708.463308199232,12272.023559764959,11572.430995154502,12199.1494140625,35413
2020-07-23,AMER3.SA,Americanas,12198.178050011973,12427.489122577035,11641.418681058134,11659.880859375,27449
2020-07-24,AMER3.SA,Americanas,11562.713987312705,11844.494590004122,11116.723873756426,11814.373046875,34671
2020-07-27,AMER3.SA,Americanas,11904.040617919345,12142.90110193047,11518.938806336715,11748.0498046875,24559
2020-07-28,AMER3.SA,Americanas,11748.049805611477,11888.44182473127,11504.314578751011,11877.7177734375,18301
2020-07-29,AMER3.SA,Americanas,11878.691662209369,12138.026625750597,11751.949313170498,12031.7578125,25353
2020-07-30,AMER3.SA,Americanas,11795.822551688192,12149.725814220668,11699.30321899744,11894.291015625,27375
2020-07-31,AMER3.SA,Americanas,12001.53432451442,12367.138116240525,11633.0068359375,11633.0068359375,35105
2020-08-03,AMER3.SA,Americanas,11813.371445692666,12284.267578125,11645.681059683438,12284.267578125,41592
2020-08-04,AMER3.SA,Americanas,12250.145526924416,12340.81459537757,11816.296284110116,11990.810546875,27308
2020-08-05,AMER3.SA,Americanas,12172.148823192148,12235.520476154008,11821.170232634862,11845.5439453125,22566
2020-08-06,AMER3.SA,Americanas,11845.543882104605,12011.283212761022,11785.096883519893,11992.759765625,20764
2020-08-07,AMER3.SA,Americanas,11839.693563523639,12118.527493548787,11685.652849714972,11862.1171875,25346
2020-08-10,AMER3.SA,Americanas,11894.290875560466,12040.532199975838,11490.665624334264,11872.8427734375,34043
2020-08-11,AMER3.SA,Americanas,11900.140788422223,12021.03287268347,11626.181595668362,11699.302734375,30711
2020-08-12,AMER3.SA,Americanas,11790.947676818325,11836.769492592392,11416.569924393672,11724.6513671875,28618
2020-08-13,AMER3.SA,Americanas,11773.398926356014,12201.397896247066,11641.780871232027,11894.291015625,42773
2020-08-14,AMER3.SA,Americanas,11803.621811788951,11863.093290110737,10920.324556802108,11075.33984375,82156
2020-08-17,AMER3.SA,Americanas,11036.341890074,11309.325567760152,10488.424446146735,10574.2197265625,65653
2020-08-18,AMER3.SA,Americanas,10932.023379444137,11249.854313556303,10773.107912388055,11153.3359375,40597
