dateStock,ticker,nameCompany,openValueStock,highValueStock,lowValueStock,closeValueStock,quantityStock
2020-04-29,CEAB3.SA,C&A,8.442198355905731,9.166339110682868,8.258871748526117,9.12050724029541,3867700
2020-04-30,CEAB3.SA,C&A,8.909682998187977,9.157173731214414,8.579694188592288,8.662191390991211,4677300
2020-05-04,CEAB3.SA,C&A,8.341370816824323,8.543029693221003,8.066380406809268,8.240540504455566,1637500
2020-05-05,CEAB3.SA,C&A,8.570528946108718,8.790520914184377,7.892219066619873,7.892219066619873,2603100
2020-05-06,CEAB3.SA,C&A,7.9288838547268385,8.148876681992785,7.553064049645888,7.828054428100586,2058000
2020-05-07,CEAB3.SA,C&A,7.9838821079432,8.103044631843282,7.333071938439851,7.406402587890625,3624800
2020-05-08,CEAB3.SA,C&A,7.516398941090051,7.580563918222795,7.003083931964966,7.076414585113525,2436600
2020-05-11,CEAB3.SA,C&A,7.058081870301661,7.058081870301661,6.7005947202695415,6.718927383422852,2505400
2020-05-12,CEAB3.SA,C&A,6.728093723428218,7.213909500361801,6.416438022469589,6.498935222625732,2413600
2020-05-13,CEAB3.SA,C&A,6.608931106040776,6.801424279000034,5.948954388156138,5.994786262512207,4657600
2020-05-14,CEAB3.SA,C&A,5.893956448599943,6.1872794852514055,5.701463274091976,6.08644962310791,4161800
2020-05-15,CEAB3.SA,C&A,6.0497846603393555,6.645596882005126,5.857291474307565,6.0497846603393555,4143200
2020-05-18,CEAB3.SA,C&A,6.46227019353704,6.856422675624999,6.260610458824003,6.783092021942139,4121800
2020-05-19,CEAB3.SA,C&A,6.828923297928043,7.55306414128097,6.709761207098126,7.333072185516357,3759800
2020-05-20,CEAB3.SA,C&A,7.4339013458494225,7.699725168041637,7.2230759477043485,7.553063869476318,2510400
2020-05-21,CEAB3.SA,C&A,7.55306387892093,7.873886125561454,7.461401004288134,7.727224826812744,2073000
2020-05-22,CEAB3.SA,C&A,7.562230786971902,7.562230786971902,7.076414556218658,7.131412982940674,2415900
2020-05-25,CEAB3.SA,C&A,7.39723643485523,7.828054679109565,7.39723643485523,7.754724025726318,2073000
2020-05-26,CEAB3.SA,C&A,7.974715780367084,8.286371486299668,7.608062522899527,7.626394748687744,2630000
2020-05-27,CEAB3.SA,C&A,7.7455568438556055,8.158041954040527,7.653893971686885,8.158041954040527,2323900
2020-05-28,CEAB3.SA,C&A,8.020547846515239,8.588860846167877,7.8372212134289585,8.433032989501953,4613600
2020-05-29,CEAB3.SA,C&A,8.405533508704863,8.753854519464953,8.03888027325754,8.680523872375488,6035800
2020-06-01,CEAB3.SA,C&A,8.66219142330536,9.065510886722372,8.561361994536275,8.955514907836914,3007600
2020-06-02,CEAB3.SA,C&A,9.148007067018215,9.477995872497559,9.07467641561621,9.477995872497559,3050600
2020-06-03,CEAB3.SA,C&A,9.890480570790084,10.257133811696834,9.395498258480833,9.862981796264648,6994400
2020-06-04,CEAB3.SA,C&A,9.8996478858326,10.394630236415711,9.642990597352187,10.266301155090332,2689700
2020-06-05,CEAB3.SA,C&A,10.999607653669637,11.457924639239204,10.742950386518356,11.09127140045166,5476600
