dateStock,ticker,nameCompany,openValueStock,highValueStock,lowValueStock,closeValueStock,quantityStock
2020-09-21,CURY3.SA,Cury,5.683219534370461,6.180740274565888,5.5620288109979805,6.034035682678223,17307900
2020-09-22,CURY3.SA,Cury,6.002143085478867,6.167983531951904,5.9256014813294495,6.167983531951904,2531900
2020-09-23,CURY3.SA,Cury,6.142469437940761,6.206253801569559,6.078684466013388,6.148848056793213,2641500
2020-09-24,CURY3.SA,Cury,6.148849382042954,6.378474235534668,6.072307764212383,6.378474235534668,1182700
2020-09-25,CURY3.SA,Cury,6.3657165236624085,6.62723445892334,6.263661040779441,6.62723445892334,863900
2020-09-28,CURY3.SA,Cury,6.627233399865766,6.824965714278462,6.321066391844876,6.563448429107666,1667600
2020-09-29,CURY3.SA,Cury,6.856859694262473,6.997186295538456,6.474151002891135,6.518800735473633,2452000
2020-09-30,CURY3.SA,Cury,6.633612201635657,6.88875150680542,6.448636494329431,6.88875150680542,1756200
2020-10-01,CURY3.SA,Cury,6.818588318035874,7.080106258392333,6.735668692801816,7.080106258392334,2213400
2020-10-02,CURY3.SA,Cury,6.9589132243054985,7.143888897798822,6.761180922449802,6.812208652496338,1126100
2020-10-05,CURY3.SA,Cury,6.888751733938088,6.95253610610962,6.633612420355992,6.952536106109619,1528700
2020-10-06,CURY3.SA,Cury,6.952536294004335,7.137512012408526,6.837724177673278,7.080106258392334,1082100
2020-10-07,CURY3.SA,Cury,7.080104423748668,7.080104423748668,6.895128753276601,6.984426975250244,668900
2020-10-08,CURY3.SA,Cury,7.016321086579808,7.029078325993307,6.875994494524588,6.952536106109619,743000
2020-10-09,CURY3.SA,Cury,7.041834316000831,7.239567250817357,6.96529271138435,6.990806579589844,1189500
2020-10-13,CURY3.SA,Cury,6.9908057203314415,7.0801045522240145,6.856857776641846,6.856857776641846,1092000
2020-10-14,CURY3.SA,Cury,6.888750990708761,6.984427842792784,6.767559662550503,6.837723255157471,493300
2020-10-15,CURY3.SA,Cury,6.863237083230841,7.073726643236928,6.722910507127253,6.78669548034668,1254100
2020-10-16,CURY3.SA,Cury,6.882372259018341,6.888750877932475,6.659125463412292,6.7292890548706055,1282200
2020-10-19,CURY3.SA,Cury,6.888750612334665,6.888750612334665,6.659125206667756,6.703774929046631,339400
2020-10-20,CURY3.SA,Cury,6.70377498044059,6.824965694572791,6.70377498044059,6.79945182800293,322600
2020-10-21,CURY3.SA,Cury,6.818586662528261,6.984427089328766,6.754802304119354,6.812208652496338,745400
2020-10-22,CURY3.SA,Cury,6.888752145293587,6.920644637433112,6.652748676739011,6.76118278503418,768900
2020-10-23,CURY3.SA,Cury,6.722910664534141,6.805830888341415,6.50604248046875,6.50604248046875,1338000
2020-10-26,CURY3.SA,Cury,6.595341323407029,6.665504308952291,6.4869072313743334,6.50604248046875,442000
2020-10-27,CURY3.SA,Cury,6.576207352999288,6.601721226185663,6.359339126765744,6.588963985443115,371000
2020-10-28,CURY3.SA,Cury,6.499664885457444,6.537935997975067,6.238147542866233,6.270040035247803,742400
2020-10-29,CURY3.SA,Cury,6.231768863186596,6.633612155914307,6.19987637422286,6.633612155914307,301000
2020-10-30,CURY3.SA,Cury,6.544313025411952,6.88237190246582,6.352958725991415,6.88237190246582,811400
2020-11-03,CURY3.SA,Cury,6.818588764042016,6.850481257225114,6.659126906425238,6.824967384338379,959700
2020-11-04,CURY3.SA,Cury,6.856858760153633,7.226810160874777,6.7484246659803375,7.1502685546875,573000
2020-11-05,CURY3.SA,Cury,7.1502679242988725,7.265080627606869,7.054591077074582,7.188539028167725,541400
2020-11-06,CURY3.SA,Cury,7.118375918116702,7.367136589256828,6.984427958010265,7.233188629150391,593700
2020-11-09,CURY3.SA,Cury,7.367134126622153,7.513838667638175,7.137508781312349,7.226807594299316,936300
2020-11-10,CURY3.SA,Cury,7.309730394271285,7.309730394271285,6.907886505126953,6.907886505126953,1107400
2020-11-11,CURY3.SA,Cury,6.952535207434499,7.035455428008127,6.824965871282216,6.920643329620361,558100
2020-11-12,CURY3.SA,Cury,6.914266017345469,6.990807633501112,6.69739780075513,6.76118278503418,558000
2020-11-13,CURY3.SA,Cury,6.793074668875013,6.856859653154062,6.652748676739011,6.76118278503418,692500
2020-11-16,CURY3.SA,Cury,6.703776201704817,7.163025883626391,6.703776201704817,7.080106258392334,684900
2020-11-17,CURY3.SA,Cury,6.997184179174797,7.016319425466121,6.927020595609088,6.978048324584961,399000
2020-11-18,CURY3.SA,Cury,6.978048762740096,6.978048762740096,6.646368503570556,6.646368503570557,723400
2020-11-19,CURY3.SA,Cury,6.691017949684382,6.850479772746251,6.620854966524648,6.7292890548706055,524600
2020-11-23,CURY3.SA,Cury,6.971672153641738,7.080106258392333,6.735668692801816,7.080106258392334,698100
2020-11-24,CURY3.SA,Cury,7.016319425466121,7.137510129709191,6.863236238538503,6.978048324584961,1592200
2020-11-25,CURY3.SA,Cury,6.952535864909441,7.175782680511475,6.927021995266235,7.175782680511475,676800
2020-11-26,CURY3.SA,Cury,7.150268453616563,7.233188677888666,7.016320492607565,7.086483478546143,704700
2020-11-27,CURY3.SA,Cury,7.092862734879552,7.2076754570007315,7.060970244479373,7.207675457000732,627700
2020-11-30,CURY3.SA,Cury,7.194918217521197,7.27145982950243,7.1056199743590875,7.207675457000732,761900
2020-12-01,CURY3.SA,Cury,7.258700070958834,7.32248441597947,7.131130772619162,7.226807594299316,508800
2020-12-02,CURY3.SA,Cury,7.271459988376987,7.271459988376987,7.016321276198334,7.080106258392334,1036100
