dateStock,ticker,nameCompany,openValueStock,highValueStock,lowValueStock,closeValueStock,quantityStock
2020-04-29,GGBR4.SA,Gerdau,6.489163013200539,6.769460573005443,6.420410301928526,6.589646816253662,22859928
2020-04-30,GGBR4.SA,Gerdau,6.4098339108449345,6.4098339108449345,6.145402179558633,6.208865642547607,18984294
2020-05-04,GGBR4.SA,Gerdau,5.902125470280801,6.108382401375507,5.854527863604877,6.066073417663574,13544874
2020-05-05,GGBR4.SA,Gerdau,6.1665563510057755,6.335792243631432,6.044917417682209,6.087226390838623,12301632
2020-05-06,GGBR4.SA,Gerdau,6.113670183002488,6.330504307646091,5.833371962622523,6.155979156494141,20103426
2020-05-07,GGBR4.SA,Gerdau,6.267041939842378,6.690133697909323,6.177135346383801,6.584360599517822,50613822
2020-05-08,GGBR4.SA,Gerdau,6.753596600096971,7.0233176284849375,6.653112133413474,6.875235557556152,36254106
2020-05-11,GGBR4.SA,Gerdau,6.806481328880929,6.875234044267937,6.584358589128057,6.610801696777344,26721324
2020-05-12,GGBR4.SA,Gerdau,6.663690495059549,6.780040838219032,6.383392201061315,6.41512393951416,17976798
2020-05-13,GGBR4.SA,Gerdau,6.542052030157045,6.542052030157045,6.055496763430418,6.150691986083984,22351266
2020-05-14,GGBR4.SA,Gerdau,5.98674225108838,6.261751861705085,5.791063240205709,6.208865642547607,42392952
2020-05-15,GGBR4.SA,Gerdau,6.13482625701031,6.20886697977724,5.775197982788086,5.775197982788086,41268276
2020-05-18,GGBR4.SA,Gerdau,6.018474915467782,6.3675252501522985,5.949722191666929,6.2511749267578125,28648494
2020-05-19,GGBR4.SA,Gerdau,6.31992754100962,6.478587490523427,6.203577207932359,6.240598201751709,19124280
2020-05-20,GGBR4.SA,Gerdau,6.378103244330831,6.520896695397792,6.256464284459121,6.3040618896484375,15785154
2020-05-21,GGBR4.SA,Gerdau,6.314638696225448,6.473298004658176,6.12424828870494,6.372814178466797,20759382
2020-05-22,GGBR4.SA,Gerdau,6.272329406042004,6.314638383394997,6.087226994623719,6.134825229644775,18818100
2020-05-25,GGBR4.SA,Gerdau,6.346369955989219,6.542049587204915,6.298771726937615,6.536760330200195,14123088
2020-05-26,GGBR4.SA,Gerdau,6.6636900772632846,6.811772149591247,6.282907333206091,6.31992769241333,22393476
2020-05-27,GGBR4.SA,Gerdau,6.42570093184473,7.065626840695724,6.393969194645313,7.012740612030029,25332048
2020-05-28,GGBR4.SA,Gerdau,7.033895771284344,7.256018588267307,6.822350201038709,7.155534744262695,22808016
2020-05-29,GGBR4.SA,Gerdau,7.197843153023044,7.356502476837241,6.869946624007939,7.102647304534912,34470072
2020-06-01,GGBR4.SA,Gerdau,7.271882217818032,7.3036139482530835,7.055048091012963,7.150243282318115,13843746
2020-06-02,GGBR4.SA,Gerdau,7.38294730980641,7.68440015876109,7.298328687512473,7.5944929122924805,23913540
2020-06-03,GGBR4.SA,Gerdau,7.716129132806701,8.282013622774754,7.56804707359566,8.112777709960938,55570914
2020-06-04,GGBR4.SA,Gerdau,8.04931545480233,8.26086102987687,7.943542349515509,8.123356819152832,19776834
2020-06-05,GGBR4.SA,Gerdau,8.541159971211735,8.578180338348135,8.022872924804688,8.022872924804688,21476196
2020-06-08,GGBR4.SA,Gerdau,8.17095062833519,8.334898528465821,8.038735092341819,8.197394371032715,22196412
2020-06-09,GGBR4.SA,Gerdau,7.927674834767751,8.01758205093875,7.848344863381696,7.911808967590332,24256386
2020-06-10,GGBR4.SA,Gerdau,7.9911390356290575,8.06518039140634,7.536315561708396,7.583913803100586,24779160
2020-06-12,GGBR4.SA,Gerdau,7.234863164091349,7.467563833375834,7.086781093319131,7.340636253356934,23424912
2020-06-15,GGBR4.SA,Gerdau,7.033895727218584,7.2665957894810616,6.943988495015465,7.166111946105957,21677418
2020-06-16,GGBR4.SA,Gerdau,7.668532025725838,7.90652133415296,7.494006829445503,7.827191352844238,45761562
