dateStock,ticker,nameCompany,openValueStock,highValueStock,lowValueStock,closeValueStock,quantityStock
2020-04-29,HAPV3.SA,Hapvida,161.36314512677265,164.79006029269596,159.72419031250124,161.95913696289062,594666
2020-04-30,HAPV3.SA,Hapvida,159.09840997026936,162.10813709463076,155.49269097394014,156.26747131347656,826166
2020-05-04,HAPV3.SA,Hapvida,148.5494411364585,152.81073229078655,147.5660592592903,152.45314025878906,865433
2020-05-05,HAPV3.SA,Hapvida,153.61531661367403,157.63822334264913,151.41016818910106,154.65829467773438,670733
2020-05-06,HAPV3.SA,Hapvida,155.2840811350841,160.20096029280293,150.30759067374814,155.5820770263672,746233
2020-05-07,HAPV3.SA,Hapvida,157.96601637336647,165.08804402127257,156.98263446339166,158.71099853515625,1272300
2020-05-08,HAPV3.SA,Hapvida,163.44907358212888,163.44907358212888,150.7843780517578,150.7843780517578,913666
2020-05-11,HAPV3.SA,Hapvida,149.95000626571093,152.6915504169773,146.58268738327837,146.97007751464844,466500
2020-05-12,HAPV3.SA,Hapvida,147.53626340222823,155.34367692085098,147.0594790713041,151.70816040039062,973566
2020-05-13,HAPV3.SA,Hapvida,152.304141882141,153.94309643450396,145.77809143066406,145.77809143066406,632666
2020-05-14,HAPV3.SA,Hapvida,145.6589263134315,147.50648286671705,138.35809433108474,141.27842712402344,844800
2020-05-15,HAPV3.SA,Hapvida,140.32486077709498,143.5431743950443,134.99077756345582,139.7586669921875,930266
2020-05-18,HAPV3.SA,Hapvida,144.4967521355379,148.34085552813758,142.44059393978327,147.62567138671875,822866
2020-05-19,HAPV3.SA,Hapvida,148.22164930106914,154.95628670292965,145.80789926132763,150.15859985351562,591566
2020-05-20,HAPV3.SA,Hapvida,150.75457424529563,154.18148869768058,149.35400433173086,151.6783447265625,544933
2020-05-21,HAPV3.SA,Hapvida,152.12536492834462,158.681214598866,146.19530517962548,156.17807006835938,1784500
2020-05-22,HAPV3.SA,Hapvida,156.44626446150215,156.95284690906004,153.40673946275098,155.5522918701172,725600
2020-05-25,HAPV3.SA,Hapvida,157.96604753100482,162.61472986227488,157.42966693766746,161.63136291503906,561666
2020-05-26,HAPV3.SA,Hapvida,164.9092688487182,164.9092688487182,160.94595797263722,163.32989501953125,734300
2020-05-27,HAPV3.SA,Hapvida,165.53502704889203,165.98202846258258,160.32015201837444,163.8960723876953,627900
2020-05-28,HAPV3.SA,Hapvida,163.44910367998924,168.06798742597573,161.33334930458398,163.92588806152344,560100
2020-05-29,HAPV3.SA,Hapvida,163.9556967659558,165.0582711399571,157.99583856199257,163.47891235351562,1761600
2020-06-01,HAPV3.SA,Hapvida,161.8995302529245,164.7304533981214,160.40956591649424,162.40611267089844,557733
2020-06-02,HAPV3.SA,Hapvida,163.86626233081284,164.16425819924726,159.72416371400294,162.5848846435547,917300
2020-06-03,HAPV3.SA,Hapvida,163.89608637237194,173.72984549203352,163.3000945410644,172.98486328125,1327400
2020-06-04,HAPV3.SA,Hapvida,174.6238086157378,176.97794721971803,169.79632396430387,174.80259704589844,1106633
2020-06-05,HAPV3.SA,Hapvida,178.79571636707394,182.3716367570957,175.1006036829517,177.45474243164062,929700
2020-06-08,HAPV3.SA,Hapvida,178.28914001793356,184.18938612688308,176.35217423278675,181.98423767089844,540433
2020-06-09,HAPV3.SA,Hapvida,178.16993136715394,181.8352460776798,173.70003833611284,179.0639190673828,591500
2020-06-10,HAPV3.SA,Hapvida,181.4180614126206,183.56361374690437,178.4977288170735,180.85186767578125,715466
2020-06-12,HAPV3.SA,Hapvida,174.0874307093273,180.22609176611877,171.76308994075148,177.93154907226562,1048900
2020-06-15,HAPV3.SA,Hapvida,175.78599105496696,182.87822058643388,173.52124650923471,180.3750762939453,826966
2020-06-16,HAPV3.SA,Hapvida,183.5934082749279,186.66273118576643,177.12695332208622,179.8386993408203,733633
2020-06-17,HAPV3.SA,Hapvida,182.04383597888054,186.06672732122803,180.6134678764014,181.23924255371094,934766
2020-06-18,HAPV3.SA,Hapvida,181.77565344986135,182.90802576672357,178.43813264910403,179.689697265625,656233
2020-06-19,HAPV3.SA,Hapvida,181.77564793373492,190.11944210407844,181.0306657700721,187.1693115234375,2381566
