dateStock,ticker,nameCompany,openValueStock,highValueStock,lowValueStock,closeValueStock,quantityStock
2020-04-29,OIBR3.SA,Oi,63.0,65.0,61.0,63.0,1763494
2020-04-30,OIBR3.SA,Oi,62.0,63.0,60.0,62.0,947071
2020-05-04,OIBR3.SA,Oi,60.0,74.0,59.0,68.0,4622191
2020-05-05,OIBR3.SA,Oi,72.0,74.0,68.0,70.0,2272239
2020-05-06,OIBR3.SA,Oi,69.0,71.0,67.0,70.0,1573789
2020-05-07,OIBR3.SA,Oi,71.0,72.0,67.0,67.0,1272325
2020-05-08,OIBR3.SA,Oi,68.0,70.0,67.0,69.0,755800
2020-05-11,OIBR3.SA,Oi,68.0,69.0,65.0,65.0,1353816
2020-05-12,OIBR3.SA,Oi,65.0,66.0,63.0,63.0,814164
2020-05-13,OIBR3.SA,Oi,63.0,64.0,59.0,60.0,886954
2020-05-14,OIBR3.SA,Oi,59.0,64.0,56.0,61.0,1555809
2020-05-15,OIBR3.SA,Oi,61.0,64.0,58.0,60.0,1120180
2020-05-18,OIBR3.SA,Oi,62.0,63.0,59.0,61.0,1251124
2020-05-19,OIBR3.SA,Oi,61.0,62.0,59.0,60.0,931214
2020-05-20,OIBR3.SA,Oi,61.0,64.0,60.0,63.0,1434356
2020-05-21,OIBR3.SA,Oi,65.0,70.0,63.0,65.0,3039400
2020-05-22,OIBR3.SA,Oi,64.0,65.0,63.0,64.0,1069643
2020-05-25,OIBR3.SA,Oi,65.0,70.0,64.0,69.0,1255662
2020-05-26,OIBR3.SA,Oi,70.0,71.0,66.0,66.0,1531245
2020-05-27,OIBR3.SA,Oi,66.0,70.0,65.0,70.0,1801777
2020-05-28,OIBR3.SA,Oi,70.0,74.0,69.0,72.0,1782334
2020-05-29,OIBR3.SA,Oi,73.0,75.0,71.0,75.0,1419305
2020-06-01,OIBR3.SA,Oi,75.0,83.0,75.0,80.0,2713043
2020-06-02,OIBR3.SA,Oi,84.0,86.0,81.0,83.0,2262363
2020-06-03,OIBR3.SA,Oi,84.0,86.0,80.0,82.0,1972851
2020-06-04,OIBR3.SA,Oi,81.0,84.0,80.0,83.0,1652191
2020-06-05,OIBR3.SA,Oi,85.0,89.0,83.0,84.0,1260862
2020-06-08,OIBR3.SA,Oi,86.0,86.0,84.0,86.0,989090
2020-06-09,OIBR3.SA,Oi,84.0,93.0,83.0,92.0,2372954
2020-06-10,OIBR3.SA,Oi,96.0,99.0,90.0,91.0,2402273
2020-06-12,OIBR3.SA,Oi,87.0,104.0,85.0,102.0,2925444
2020-06-15,OIBR3.SA,Oi,102.0,102.0,96.0,98.0,2339389
2020-06-16,OIBR3.SA,Oi,95.0,100.0,86.0,98.0,5314718
2020-06-17,OIBR3.SA,Oi,99.0,100.0,93.0,99.0,2207078
2020-06-18,OIBR3.SA,Oi,97.0,110.0,97.0,109.0,4233767
2020-06-19,OIBR3.SA,Oi,111.0,113.0,104.0,109.0,2049924
2020-06-22,OIBR3.SA,Oi,111.0,119.0,109.0,116.0,2700616
2020-06-23,OIBR3.SA,Oi,119.0,122.0,111.0,115.0,3066361
2020-06-24,OIBR3.SA,Oi,117.0,118.0,111.0,115.0,2464319
2020-06-25,OIBR3.SA,Oi,117.0,123.0,114.0,123.0,2904754
2020-06-26,OIBR3.SA,Oi,122.0,125.0,115.0,115.0,2379593
2020-06-29,OIBR3.SA,Oi,117.0,122.0,112.0,121.0,2614058
2020-06-30,OIBR3.SA,Oi,120.0,124.0,117.0,120.0,1817912
2020-07-01,OIBR3.SA,Oi,120.0,121.0,117.0,119.0,1012888
2020-07-02,OIBR3.SA,Oi,120.0,124.0,119.0,120.0,1384837
2020-07-03,OIBR3.SA,Oi,120.0,122.0,118.0,121.0,609350
2020-07-06,OIBR3.SA,Oi,124.0,124.0,121.0,122.0,1071031
2020-07-07,OIBR3.SA,Oi,121.0,122.0,119.0,120.0,710188
2020-07-08,OIBR3.SA,Oi,121.0,122.0,119.0,122.0,1098769
2020-07-09,OIBR3.SA,Oi,122.0,123.0,115.0,115.0,1749349
2020-07-10,OIBR3.SA,Oi,113.0,119.0,108.0,119.0,2291533
2020-07-13,OIBR3.SA,Oi,119.0,121.0,115.0,116.0,1384933
2020-07-14,OIBR3.SA,Oi,116.0,117.0,112.0,117.0,1154059
2020-07-15,OIBR3.SA,Oi,117.0,121.0,114.0,120.0,2881753
2020-07-16,OIBR3.SA,Oi,120.0,122.0,118.0,119.0,1791813
2020-07-17,OIBR3.SA,Oi,120.0,121.0,119.0,121.0,511635
2020-07-20,OIBR3.SA,Oi,134.0,145.0,127.0,132.0,6872815
2020-07-21,OIBR3.SA,Oi,138.0,139.0,130.0,135.0,3408125
